Input, QT, Openstack, Mean, 
CC2Vec code, 0.48909329867380785, 0.48570673464157577, 0.48740001665769184, 
DeepJIT msg, 0.7233082400695516, 0.7028904591052207, 0.7130993495873862, 
DeepJIT code, 0.7126010054751581, 0.7194353170535257, 0.7160181612643419, 
-CC2Vec code, 0.7888653366946093, 0.7708684191257231, 0.7798668779101663, 
-DeepJIT msg, 0.718168627895684, 0.7173519074467306, 0.7177602676712074, 
-DeepJIT code, 0.7229412910673215, 0.707869590686095, 0.7154054408767083, 
