Input, QT, Openstack, Mean, 
DeepJIT github, 0.7964183625606415, 0.7456002528754655, 0.7710093077180535, 
DeepJIT paper, 0.7728694915467234, 0.7173071363080983, 0.7450883139274108, 
CC2Vec github, 0.8029648970048676, 0.7580865215780601, 0.7805257092914639, 
CC2Vec paper, 0.7770352533233823, 0.7373655465785273, 0.7572003999509548, 
