, qt, openstack, jdt, platform, gerrit, go
lr, 0.607266, 0.677854, 0.664416, 0.696235, 0.658685, 0.642641, 
dbn, 0.605867, 0.6843, 0.665867, 0.716829, 0.665247, 0.642347, 
la, 0.743841, 0.749124, 0.675692, 0.746065, 0.749503, 0.683108, 
