, qt, openstack, jdt, platform, gerrit, go
lr, 0.66512, 0.724767, 0.673632, 0.640345, 0.657019, 0.6749, 
dbn, 0.666263, 0.729245, 0.586953, 0.696783, 0.671298, 0.673934, 
la, 0.743841, 0.749124, 0.675692, 0.746065, 0.749503, 0.683108, 
