, qt, openstack, jdt, platform, gerrit, go
10k/k, 0.67519, 0.756092, 0.661725, 0.646264, 0.677152, 0.675338, 
20k/k, 0.680653, 0.746089, 0.661725, 0.630685, 0.669999, 0.679276, 
30k/k, 0.685292, 0.729405, 0.661725, 0.63735, 0.671679, 0.669429, 
40k/k, 0.687603, 0.72588, 0.661725, 0.63735, 0.671679, 0.663909, 
50k/k, 0.680208, 0.729761, 0.661725, 0.63735, 0.671679, 0.662723, 
