,Key,Status,Summary,Url,Last_Date
1644882,1644882,Fix Released,Instance snapshot not selected by default when launching it from images,https://bugs.launchpad.net/horizon/+bug/1644882,2017-03-10
1668684,1668684,Fix Released,Kafka Fuel Plugin can`t be installed on mos 10.0,https://bugs.launchpad.net/fuel/+bug/1668684,2017-03-10
1669453,1669453,Fix Released,Deployment with Kafka Fuel Plugin 1.0.0 fails on mos 10.0,https://bugs.launchpad.net/fuel/+bug/1669453,2017-03-10
1618030,1618030,Fix Released,replace backup_id for backup_uuid,https://bugs.launchpad.net/freezer/+bug/1618030,2017-03-10
1623948,1623948,Fix Committed,database.pp configures invalid locations of wsrep_provider and mysql_socket for rhel,https://bugs.launchpad.net/fuel/+bug/1623948,2017-03-10
1655961,1655961,Fix Committed,[puppet4] fuel-pkgs task fails,https://bugs.launchpad.net/fuel/+bug/1655961,2017-03-10
1656249,1656249,Fix Committed,[puppet4] database task fails to detect mysqld backend start,https://bugs.launchpad.net/fuel/+bug/1656249,2017-03-10
1630284,1630284,Fix Committed,libvirt cannot start if selinux is disabled,https://bugs.launchpad.net/fuel/+bug/1630284,2017-03-10
1668288,1668288,Fix Committed,[puppet4] fuel::mcollective task fails during bootstrap,https://bugs.launchpad.net/fuel/+bug/1668288,2017-03-10
1667677,1667677,Fix Committed,[puppet4] keystone db creation fails during master node bootstrap,https://bugs.launchpad.net/fuel/+bug/1667677,2017-03-10
1667332,1667332,Fix Committed,[puppet4] fuel::cobbler task fails during master node bootstrap,https://bugs.launchpad.net/fuel/+bug/1667332,2017-03-10
1614766,1614766,Fix Released,ovsdb managers shouldn't be erased/overwritten,https://bugs.launchpad.net/neutron/+bug/1614766,2017-03-10
1629861,1629861,Fix Released,L3: missing registry callback notification at Router Interface creation,https://bugs.launchpad.net/neutron/+bug/1629861,2017-03-10
1629861,1629861,Fix Released,L3: missing registry callback notification at Router Interface creation,https://bugs.launchpad.net/bgpvpn/+bug/1629861,2017-03-10
1629484,1629484,Fix Released,Key error when try to assign a floating ip to a VM,https://bugs.launchpad.net/neutron/+bug/1629484,2017-03-10
