,Key,Status,Summary,Url,Last_Date
1234857,1234857,Fix Released,neutron unittest require minimum 4gb memory,https://bugs.launchpad.net/neutron/+bug/1234857,2014-10-10
1367395,1367395,Fix Released,[network] cookbook attributes for quota_router and quota_floatingip,https://bugs.launchpad.net/openstack-chef/+bug/1367395,2014-10-10
1376949,1376949,Fix Released,[identity] create_user does not handle changed passwords,https://bugs.launchpad.net/openstack-chef/+bug/1376949,2014-10-10
1347348,1347348,Fix Released,Update keystone policy file from keystone,https://bugs.launchpad.net/horizon/+bug/1347348,2014-10-10
1365005,1365005,Fix Released,[network] Need attributes for api_workers and rpc_workers,https://bugs.launchpad.net/openstack-chef/+bug/1365005,2014-10-10
1367807,1367807,Fix Released,[compute] Need separate endpoints for vncserver_listen and vncserver_proxyclient_address,https://bugs.launchpad.net/openstack-chef/+bug/1367807,2014-10-10
1374587,1374587,Fix Released,[identity] Need to support configuring domain specific drivers,https://bugs.launchpad.net/openstack-chef/+bug/1374587,2014-10-10
1376254,1376254,Fix Committed,fuel-library syntax check misses some bash scripts,https://bugs.launchpad.net/fuel/+bug/1376254,2014-10-10
1378857,1378857,Fix Committed,"[fuel-library] ""fuel_syntax_check.sh -u"" gives error",https://bugs.launchpad.net/fuel/+bug/1378857,2014-10-10
1316475,1316475,Fix Released,[SRU] CloudSigma DS for causes hangs when serial console present,https://bugs.launchpad.net/diskimage-builder/+bug/1316475,2014-10-10
1373150,1373150,Fix Released,selinux denials prevent mariadb/galera from starting on non-primary nodes,https://bugs.launchpad.net/tripleo/+bug/1373150,2014-10-10
1373145,1373145,Fix Released,selinux denial due to /var/lib/rabbitmq changed from being a dir into a link,https://bugs.launchpad.net/tripleo/+bug/1373145,2014-10-10
1361630,1361630,Fix Released,Unable to login to horizon when SELinux enforcing,https://bugs.launchpad.net/tripleo/+bug/1361630,2014-10-10
1354570,1354570,Fix Released,No way to prefer a default route from a given interface,https://bugs.launchpad.net/tripleo/+bug/1354570,2014-10-10
1375526,1375526,Fix Released,SELinux blocks swift's access to ephemeral ports,https://bugs.launchpad.net/tripleo/+bug/1375526,2014-10-10
1369755,1369755,Fix Released,heat purge_deleted cron job logging should not default to  sendmail,https://bugs.launchpad.net/tripleo/+bug/1369755,2014-10-10
1363298,1363298,Fix Released,Horizon never runs manage.py collectstatic,https://bugs.launchpad.net/tripleo/+bug/1363298,2014-10-10
1340776,1340776,Fix Released,Swift fails to start in overcloud,https://bugs.launchpad.net/tripleo/+bug/1340776,2014-10-10
1363146,1363146,Fix Released,Cannot create Centos7 image with DIB software elements config,https://bugs.launchpad.net/diskimage-builder/+bug/1363146,2014-10-10
1378033,1378033,Fix Released,Building with -t tar produces error,https://bugs.launchpad.net/diskimage-builder/+bug/1378033,2014-10-10
1332458,1332458,Fix Released,Not able to build armhf or arm64 images on amd64 arch systems.,https://bugs.launchpad.net/diskimage-builder/+bug/1332458,2014-10-10
1378707,1378707,Fix Released,"Need to rewrite ""Open Stack"" to ""OpenStack"" for Murano ostf notifications",https://bugs.launchpad.net/fuel/+bug/1378707,2014-10-10
1242816,1242816,Fix Released,deprecate volume-id option for backup commands,https://bugs.launchpad.net/python-cinderclient/+bug/1242816,2014-10-10
1240151,1240151,Fix Released,volume restore cli broken,https://bugs.launchpad.net/python-cinderclient/+bug/1240151,2014-10-10
1376287,1376287,Fix Released,"_nodesCount_ instead ""Added nodes"" for Asian languages",https://bugs.launchpad.net/fuel/+bug/1376287,2014-10-10
1368731,1368731,Fix Released,default puppet/repos are located not in versioned folders,https://bugs.launchpad.net/fuel/+bug/1368731,2014-10-10
1379299,1379299,Fix Released,nailgun-agent fails on bootstrap because of json gem,https://bugs.launchpad.net/fuel/+bug/1379299,2014-10-10
1364007,1364007,Fix Released,Fuel CLI: wrong options in help and examples for 'fuel task',https://bugs.launchpad.net/fuel/+bug/1364007,2014-10-10
1324914,1324914,Fix Committed,Need to set production-oriented configuration parameters for Nova and Neutron,https://bugs.launchpad.net/fuel/+bug/1324914,2014-10-10
1364076,1364076,Fix Released,fix handling of *_COMMIT parameters in make system,https://bugs.launchpad.net/fuel/+bug/1364076,2014-10-10
1288372,1288372,Fix Released,Cost of computing first & last sample timestamps is excessive in mongo for  unconstrained /v2/resources queries,https://bugs.launchpad.net/ceilometer/+bug/1288372,2014-10-10
1375706,1375706,Fix Released,Compare 5.1 mirror with release iso 5.1-11,https://bugs.launchpad.net/fuel/+bug/1375706,2014-10-10
1379720,1379720,Fix Released,Overview of nova.conf in OpenStack Configuration Reference  - icehouse,https://bugs.launchpad.net/openstack-manuals/+bug/1379720,2014-10-10
1379234,1379234,Fix Released,Devstack setting a deprecated option to heat's config file,https://bugs.launchpad.net/devstack/+bug/1379234,2014-10-10
