,Key,Status,Summary,Url,Last_Date
1634112,1634112,Fix Released,_human_id_cache or _uuid_cache error about completion_cache,https://bugs.launchpad.net/python-cinderclient/+bug/1634112,2017-01-27
1657650,1657650,Fix Released,cinder v3 for listing volumes throws python error on image_metadata based filtering,https://bugs.launchpad.net/python-cinderclient/+bug/1657650,2017-01-27
1658704,1658704,Fix Released,test_auth_with_keystone_v3 fails,https://bugs.launchpad.net/python-cinderclient/+bug/1658704,2017-01-27
1659561,1659561,Fix Released,snapshot-list error if using os_volume_api_version 3-3.21,https://bugs.launchpad.net/python-cinderclient/+bug/1659561,2017-01-27
1632132,1632132,Fix Released,Network topology graph: Inaccessible ports should not link to anything,https://bugs.launchpad.net/horizon/+bug/1632132,2017-01-27
1329369,1329369,Fix Released,Refactoring: support session/cookie getters and setters,https://bugs.launchpad.net/horizon/+bug/1329369,2017-01-27
1608977,1608977,Fix Released,"When add custom rule of the security group rules, hidden field errors block form submit",https://bugs.launchpad.net/horizon/+bug/1608977,2017-01-27
1605772,1605772,Fix Released,Inconsistent ordering of columns Admin>Routers,https://bugs.launchpad.net/horizon/+bug/1605772,2017-01-27
1648014,1648014,Fix Released,Syntax Error 'Settings and Configuration' Horizon Doc,https://bugs.launchpad.net/horizon/+bug/1648014,2017-01-27
1653960,1653960,Fix Released,Modal header should default to page_header,https://bugs.launchpad.net/horizon/+bug/1653960,2017-01-27
1653986,1653986,Fix Released,Many views are using identical table templates,https://bugs.launchpad.net/horizon/+bug/1653986,2017-01-27
1656101,1656101,Fix Released,delete swift container does not work,https://bugs.launchpad.net/horizon/+bug/1656101,2017-01-27
1657481,1657481,Fix Released,unused import,https://bugs.launchpad.net/horizon/+bug/1657481,2017-01-27
1656051,1656051,Fix Released,Angular registry detailViews no longer display as tabs,https://bugs.launchpad.net/horizon/+bug/1656051,2017-01-27
1630416,1630416,Fix Released,Issues on admin create network modal,https://bugs.launchpad.net/horizon/+bug/1630416,2017-01-27
1637490,1637490,Fix Released,Need to change OpenStack logo,https://bugs.launchpad.net/horizon/+bug/1637490,2017-01-27
1653975,1653975,Fix Released,heatclient spam in horizon test runs,https://bugs.launchpad.net/horizon/+bug/1653975,2017-01-27
1653975,1653975,Fix Released,heatclient spam in horizon test runs,https://bugs.launchpad.net/python-heatclient/+bug/1653975,2017-01-27
1636911,1636911,Fix Released,Numa related exception didn't process by create server API,https://bugs.launchpad.net/nova/+bug/1636911,2017-01-27
1648314,1648314,Fix Released,create/update resource_class APIs raises HTTP 500 Internal Server Error when name is greater than 255 characters,https://bugs.launchpad.net/nova/+bug/1648314,2017-01-27
1635674,1635674,Fix Released,'hw:cpu_thread_policy=isolate' is not accounted properly on non-HT hosts,https://bugs.launchpad.net/nova/+bug/1635674,2017-01-27
1522454,1522454,Fix Released,Nova is leaking libvirt internal ids on some Instance Not Found errors,https://bugs.launchpad.net/nova/+bug/1522454,2017-01-27
1643181,1643181,Fix Released,instance xml not consistent with image info,https://bugs.launchpad.net/nova/+bug/1643181,2017-01-27
1648983,1648983,Fix Released,"cells v1: error when reporting child cell capacity: ""TypeError: unsupported operand type(s) for *: 'NoneType' and 'int'""",https://bugs.launchpad.net/nova/+bug/1648983,2017-01-27
1650770,1650770,Fix Released,CONF.libvirt.snapshot_compression is not tested,https://bugs.launchpad.net/nova/+bug/1650770,2017-01-27
1650328,1650328,Fix Released,The delete server API reference doesn't mention the SOFT_DELETED wrinkle,https://bugs.launchpad.net/nova/+bug/1650328,2017-01-27
1652155,1652155,Fix Released,We don't need to log a warning when we can't delete an allocation for an instance that doesn't exist,https://bugs.launchpad.net/nova/+bug/1652155,2017-01-27
1651441,1651441,Fix Released,api-ref:  wrong parameter type and a missing parameter in servers-admin-action.inc,https://bugs.launchpad.net/nova/+bug/1651441,2017-01-27
1647370,1647370,Fix Released,Resource tracker doesn't free resources on confirm resize,https://bugs.launchpad.net/nova/+bug/1647370,2017-01-27
1652252,1652252,Fix Released,Not able to delete the network - exceptions.NotImplementedError (docs needed),https://bugs.launchpad.net/nova/+bug/1652252,2017-01-27
1653261,1653261,Fix Released,nova-manage db online_data_migrations can fail with UnicodeEncodeError if there are duplicate aggregates or flavors,https://bugs.launchpad.net/nova/+bug/1653261,2017-01-27
1563874,1563874,Fix Released,libvirt: Snapshot and resume does not work for instances with some SR-IOV ports,https://bugs.launchpad.net/nova/+bug/1563874,2017-01-27
1651254,1651254,Fix Released,"""tenant_usage_links"" isn't described in the v2.40 os-simple-tenant-usage API reference",https://bugs.launchpad.net/nova/+bug/1651254,2017-01-27
1652897,1652897,Fix Released,api-ref: wrong parameters in os-server-groups.inc,https://bugs.launchpad.net/nova/+bug/1652897,2017-01-27
1572370,1572370,Fix Released,Attach interface capability is not in the feature support matrix,https://bugs.launchpad.net/nova/+bug/1572370,2017-01-27
1645306,1645306,Fix Released,typo in api-paste.ini parameter,https://bugs.launchpad.net/nova/+bug/1645306,2017-01-27
1656025,1656025,Fix Released,os-vif 1.4.0 breaks nova unit tests,https://bugs.launchpad.net/nova/+bug/1656025,2017-01-27
1655761,1655761,Fix Released,Resource Provider generation update missing,https://bugs.launchpad.net/nova/+bug/1655761,2017-01-27
1640502,1640502,Fix Released,Empty /etc/machine-id causes failure in unit tests,https://bugs.launchpad.net/nova/+bug/1640502,2017-01-27
1656479,1656479,Fix Released,nova-manage cell_v2 verify_instance has unnecessary uuid check,https://bugs.launchpad.net/nova/+bug/1656479,2017-01-27
1656686,1656686,Fix Released,Invalid 'nova-manage image' subcommand in man pages,https://bugs.launchpad.net/nova/+bug/1656686,2017-01-27
1653897,1653897,Fix Released,api-ref: wrong parameter type and missing response description in os-quota-sets.inc,https://bugs.launchpad.net/nova/+bug/1653897,2017-01-27
1656124,1656124,Fix Released,Broken link to nova/devref in http://docs.openstack.org/developer/nova/how_to_get_involved.html#how-to-do-great-nova-spec-reviews,https://bugs.launchpad.net/nova/+bug/1656124,2017-01-27
1656675,1656675,Fix Released,There is no way to list cell mappings besides looking into the DB,https://bugs.launchpad.net/nova/+bug/1656675,2017-01-27
1656691,1656691,Fix Released,There is no way to delete a cell mapping except via DB directly,https://bugs.launchpad.net/nova/+bug/1656691,2017-01-27
1651650,1651650,Fix Released,XenAPI: server rescue test sometime failed with timeout waiting for vif plugging,https://bugs.launchpad.net/nova/+bug/1651650,2017-01-27
1654427,1654427,Fix Released,api-ref: a wrong description for 'hosts' parameter in os-availability-zone.inc,https://bugs.launchpad.net/nova/+bug/1654427,2017-01-27
1657496,1657496,Fix Released,Nova cannot find cinder v3 endpoint,https://bugs.launchpad.net/nova/+bug/1657496,2017-01-27
1653899,1653899,Fix Released,The 500 returns for invalid regex in the pattern match query parameters,https://bugs.launchpad.net/nova/+bug/1653899,2017-01-27
1658078,1658078,Fix Released,AttributeError: 'NoneType' object has no attribute 'support_requests',https://bugs.launchpad.net/nova/+bug/1658078,2017-01-27
1565801,1565801,Fix Released,Add process monitor for haproxy,https://bugs.launchpad.net/octavia/+bug/1565801,2017-01-27
1597111,1597111,Fix Released,ostestr --no-discover does not create subunit file,https://bugs.launchpad.net/os-testr/+bug/1597111,2017-01-27
1619376,1619376,Fix Released,Server groups RBAC functional test isn't run,https://bugs.launchpad.net/searchlight/+bug/1619376,2017-01-26
1654322,1654322,Fix Released,Searchlight UI  Unknown provider: $modalProvider,https://bugs.launchpad.net/searchlight/+bug/1654322,2017-01-26
1648207,1648207,Fix Released,"Bug in Python API ""!="" doesn't behave as expected for base.Resource objects",https://bugs.launchpad.net/python-novaclient/+bug/1648207,2017-01-26
1651677,1651677,Fix Released,Make method _console() public,https://bugs.launchpad.net/python-novaclient/+bug/1651677,2017-01-26
1658963,1658963,Fix Released,ListExtResource given in place of ListExtManager,https://bugs.launchpad.net/python-novaclient/+bug/1658963,2017-01-26
1555228,1555228,Fix Released,monasca client: OS_DOMAIN_NAME/ID used for project-name scoping (OS_PROJECT_DOMAIN_NAME/ID),https://bugs.launchpad.net/monasca/+bug/1555228,2017-01-26
1645162,1645162,Fix Released,The usage of LOG mismatch in the code,https://bugs.launchpad.net/designate/+bug/1645162,2017-01-26
1656765,1656765,Fix Released,Use designate.utils.generate_uuid instead of uuid,https://bugs.launchpad.net/designate/+bug/1656765,2017-01-26
1650774,1650774,Fix Released,"Share instance status can't be set to ""migrating"" or ""migrating_to""",https://bugs.launchpad.net/manila/+bug/1650774,2017-01-26
1650774,1650774,Fix Released,"Share instance status can't be set to ""migrating"" or ""migrating_to""",https://bugs.launchpad.net/python-manilaclient/+bug/1650774,2017-01-26
1560226,1560226,Fix Released,No notifications on Neutron tag operations,https://bugs.launchpad.net/neutron/+bug/1560226,2017-01-26
1585976,1585976,Fix Released,Designate plugin lacks of Keystone authentication options,https://bugs.launchpad.net/neutron/+bug/1585976,2017-01-26
