,Key,Status,Summary,Url,Last_Date
1369942,1369942,Fix Released,Ability to use CINDER_ENABLED_BACKENDS is not avaliable in devstack tempest script,https://bugs.launchpad.net/devstack/+bug/1369942,2014-10-23
1355342,1355342,Fix Released,ubuntu ceph journal parttion GUID isn't always set,https://bugs.launchpad.net/fuel/+bug/1355342,2014-10-23
1382525,1382525,Fix Released,"Non-fatal error: ""Execution of '/usr/bin/neutron --os-tenant-name services --os-username neutron --os-password fQqxaSyb --os-auth-url http://192.168.0.1:35357/v2.0 net-list' returned 1",https://bugs.launchpad.net/fuel/+bug/1382525,2014-10-23
1383719,1383719,Fix Released,nodepool_prod.pp class should use absolute path for nodepool_template parameter,https://bugs.launchpad.net/openstack-ci/+bug/1383719,2014-10-23
1384238,1384238,Fix Committed,JJB: package name does not match and breaks PBR,https://bugs.launchpad.net/openstack-ci/+bug/1384238,2014-10-23
1292033,1292033,Fix Released,Improve Trove exceptions  message in horizon(python-troveclient),https://bugs.launchpad.net/trove/+bug/1292033,2014-10-22
1285149,1285149,Fix Released,Missing percona heat template,https://bugs.launchpad.net/trove/+bug/1285149,2014-10-22
1298707,1298707,Fix Released,trove configuration-update bug,https://bugs.launchpad.net/trove/+bug/1298707,2014-10-22
1218780,1218780,Fix Released,"Image property ""hw_vif_model"" is not honored again if we do a  VM soft/hard reboot via Nova",https://bugs.launchpad.net/nova/+bug/1218780,2014-10-22
1383619,1383619,Fix Released,[Cinder] Cookbook lack some insecure-related attribte and glance server url should can be https,https://bugs.launchpad.net/openstack-chef/+bug/1383619,2014-10-22
1374051,1374051,Fix Released,add last_run_summary into diagnostic snapshot,https://bugs.launchpad.net/fuel/+bug/1374051,2014-10-22
1382627,1382627,Fix Committed,Duplicate hosts in 'fuel nodes' output,https://bugs.launchpad.net/fuel/+bug/1382627,2014-10-22
1288715,1288715,Fix Released,OpenStack Installation  sqlite cinder,https://bugs.launchpad.net/openstack-manuals/+bug/1288715,2014-10-22
1363144,1363144,Fix Released,"Key-value stores in OpenStack Installation Guide for Red Hat Enterprise Linux, CentOS, and Fedora  - icehouse",https://bugs.launchpad.net/openstack-manuals/+bug/1363144,2014-10-22
1381997,1381997,Fix Committed,tune cobbler and dnsmasq for larger deployments,https://bugs.launchpad.net/fuel/+bug/1381997,2014-10-22
1338559,1338559,Fix Committed,Puppet coding style,https://bugs.launchpad.net/fuel/+bug/1338559,2014-10-22
1326021,1326021,Fix Released,Failed to provision cluster with cinder volumes,https://bugs.launchpad.net/sahara/+bug/1326021,2014-10-21
1304629,1304629,Fix Released,percona package in mysql element gone missing,https://bugs.launchpad.net/tripleo/+bug/1304629,2014-10-21
1312962,1312962,Fix Released,400 response code when fetching get-pip.py,https://bugs.launchpad.net/tripleo/+bug/1312962,2014-10-21
1362348,1362348,Fix Committed,elastic-recheck is showing open reviews for e-r patches,https://bugs.launchpad.net/openstack-ci/+bug/1362348,2014-10-21
1226351,1226351,Fix Released,Make RBD Usable for Ephemeral Storage,https://bugs.launchpad.net/nova/+bug/1226351,2014-10-21
1381599,1381599,Fix Released,"[Nova] Cookbook lack some insecure-related attribtes, and neutron_url and neutron_admin_auth_url should be prefixed with scheme",https://bugs.launchpad.net/openstack-chef/+bug/1381599,2014-10-21
1382482,1382482,Fix Released,"ceilometer shouldn't poll neutron info about LBaaS, VPNaaS and FWaaS",https://bugs.launchpad.net/fuel/+bug/1382482,2014-10-21
1381143,1381143,Fix Released,Can not create volume from qcow2 image,https://bugs.launchpad.net/fuel/+bug/1381143,2014-10-21
1136069,1136069,Fix Released,Add openstackwatch to jeepyb,https://bugs.launchpad.net/openstack-ci/+bug/1136069,2014-10-21
1382518,1382518,Fix Released,Logs on UI are destroyed,https://bugs.launchpad.net/fuel/+bug/1382518,2014-10-21
1336888,1336888,Fix Released,Add configurable http_timeout parameter for Cisco N1K,https://bugs.launchpad.net/openstack-manuals/+bug/1336888,2014-10-21
1381826,1381826,Fix Released,MongoDB provisioning failed,https://bugs.launchpad.net/fuel/+bug/1381826,2014-10-21
1291905,1291905,Fix Released,new resources are not available for signalling during an update -> heat stack update timeout,https://bugs.launchpad.net/heat/+bug/1291905,2014-10-21
1291905,1291905,Fix Released,new resources are not available for signalling during an update -> heat stack update timeout,https://bugs.launchpad.net/tripleo/+bug/1291905,2014-10-21
1378860,1378860,Fix Released,(/Stage[main]/Horizon/Exec[horizon_compress_styles]) Failed to call refresh: python manage.py compress returned 1 instead of one of [0],https://bugs.launchpad.net/fuel/+bug/1378860,2014-10-21
1346683,1346683,Fix Released,The short link not working on the Chapter 1 tutorial guide in the Brief  Overview section (error code 404),https://bugs.launchpad.net/openstack-training-guides/+bug/1346683,2014-10-21
1340682,1340682,Fix Released,The url http://goo.gl/ka4SrV returns 404 error,https://bugs.launchpad.net/openstack-training-guides/+bug/1340682,2014-10-21
758885,758885,Fix Released,"Scan for except Exception: where we meant except (Exception, Timeout):",https://bugs.launchpad.net/swift/+bug/758885,2014-10-21
1381757,1381757,Fix Committed,MOS/Fuel masternode high load during 99 nodes cluster provisioning/deployment,https://bugs.launchpad.net/fuel/+bug/1381757,2014-10-21
