,Key,Status,Summary,Url,Last_Date
1371982,1371982,Fix Released,Examples not complete/correct in user-guides section sdk_neutron_apis,https://bugs.launchpad.net/openstack-manuals/+bug/1371982,2014-09-23
1097364,1097364,Fix Released,Missing API documentation for QuotaClasses API extension,https://bugs.launchpad.net/openstack-api-site/+bug/1097364,2014-09-23
1370678,1370678,Fix Released,"[identity] openstack-identity::registration recipe succeeded even though it failed to create users, tenants and roles",https://bugs.launchpad.net/openstack-chef/+bug/1370678,2014-09-23
1368873,1368873,Fix Released,[block-storage] Add attribute for osapi_volume_workers,https://bugs.launchpad.net/openstack-chef/+bug/1368873,2014-09-23
1365113,1365113,Fix Released,[common] Add sensitive flag for openrc file,https://bugs.launchpad.net/openstack-chef/+bug/1365113,2014-09-23
1247245,1247245,Fix Released,Disassociate Floating IP in Instances panel also deletes IP,https://bugs.launchpad.net/horizon/+bug/1247245,2014-09-22
1258349,1258349,Fix Released,Rebuild Instance dialog fails for nameless images,https://bugs.launchpad.net/horizon/+bug/1258349,2014-09-22
1272136,1272136,Fix Released,Case test_get_index_sort_updated_at_desc failed sometimes,https://bugs.launchpad.net/glance/+bug/1272136,2014-09-22
1279753,1279753,Fix Released,The race condition caused by image created_at break registry v2 api test cases,https://bugs.launchpad.net/glance/+bug/1279753,2014-09-22
1245909,1245909,Fix Released,"when creating the thin lvm pool, its size is not calculated correctly",https://bugs.launchpad.net/cinder/+bug/1245909,2014-09-22
1249782,1249782,Fix Released,thin lvm volume create fails,https://bugs.launchpad.net/cinder/+bug/1249782,2014-09-22
1229759,1229759,Fix Released,Huawei driver can not attach volume to Windows OS,https://bugs.launchpad.net/cinder/+bug/1229759,2014-09-22
1266906,1266906,Fix Released,Volume type defaults remain in Defaults tab even after volume type is removed,https://bugs.launchpad.net/cinder/+bug/1266906,2014-09-22
1260773,1260773,Fix Released,LVM Thin pool free space calculation fails if pool not activated,https://bugs.launchpad.net/cinder/+bug/1260773,2014-09-22
1233763,1233763,Fix Released,Deprecated: Default quota for resource: *,https://bugs.launchpad.net/cinder/+bug/1233763,2014-09-22
1260786,1260786,Fix Released,Ensure ThinLVM LV is active when cloning from volume,https://bugs.launchpad.net/cinder/+bug/1260786,2014-09-22
1289014,1289014,Fix Released,Hyper-V inspector does not return correct metrics for networking,https://bugs.launchpad.net/ceilometer/+bug/1289014,2014-09-22
1284073,1284073,Fix Released,samples from notifications for autoscaled instances cannot be persisted in mongo,https://bugs.launchpad.net/ceilometer/+bug/1284073,2014-09-22
1289015,1289015,Fix Released,Hyper-V inspector does not report the correct units for networking and disks data,https://bugs.launchpad.net/ceilometer/+bug/1289015,2014-09-22
1091333,1091333,Fix Released,docutils 0.10 incompatible with sphinx 1.1.3,https://bugs.launchpad.net/horizon/+bug/1091333,2014-09-22
1091333,1091333,Fix Released,docutils 0.10 incompatible with sphinx 1.1.3,https://bugs.launchpad.net/openstack-ci/+bug/1091333,2014-09-22
1091333,1091333,Fix Released,docutils 0.10 incompatible with sphinx 1.1.3,https://bugs.launchpad.net/ceilometer/+bug/1091333,2014-09-22
1265032,1265032,Fix Released,"Floating IPs configured via Neutron, viewed via Nova, so floating IP info is out of date",https://bugs.launchpad.net/horizon/+bug/1265032,2014-09-22
1265872,1265872,Fix Released,Disassociate Floating IP from an instance with 2 NICs doesn't work,https://bugs.launchpad.net/horizon/+bug/1265872,2014-09-22
1289033,1289033,Fix Released,[OSSA-2014-010] XSS in Horizon-Orchestration (CVE-2014-0157),https://bugs.launchpad.net/horizon/+bug/1289033,2014-09-22
1289033,1289033,Fix Released,[OSSA-2014-010] XSS in Horizon-Orchestration (CVE-2014-0157),https://bugs.launchpad.net/ossa/+bug/1289033,2014-09-22
1256259,1256259,Fix Released,rbd driver should check for watchers before delete,https://bugs.launchpad.net/cinder/+bug/1256259,2014-09-22
1252423,1252423,Fix Released,Ensure ThinLVM LV is active when cloning or creating from snapshot,https://bugs.launchpad.net/cinder/+bug/1252423,2014-09-22
1276409,1276409,Fix Released,Fix error message typo in PLUMgrid Plugin,https://bugs.launchpad.net/neutron/+bug/1276409,2014-09-22
1228827,1228827,Fix Released,add request timeout handling for Mellanox Neutron Agent,https://bugs.launchpad.net/neutron/+bug/1228827,2014-09-22
1302467,1302467,Fix Released,Logging on list operations slows down operation by about 500%,https://bugs.launchpad.net/neutron/+bug/1302467,2014-09-22
