,Key,Status,Summary,Url,Last_Date
1184012,1184012,Fix Released,Command inconsistency in Identity v2.0 endpoints,https://bugs.launchpad.net/python-openstackclient/+bug/1184012,2014-06-20
1177255,1177255,Fix Released,Listing users of a project/tenant through CLI,https://bugs.launchpad.net/python-openstackclient/+bug/1177255,2014-06-20
1254545,1254545,Fix Released,Chapter 1. Getting Started in OpenStack Training Guides,https://bugs.launchpad.net/openstack-training-guides/+bug/1254545,2014-06-20
1329567,1329567,Fix Released,"since the repo move, new html is not getting on docs.openstack.org",https://bugs.launchpad.net/openstack-training-guides/+bug/1329567,2014-06-20
1313746,1313746,Fix Released,Non-admins can create public images,https://bugs.launchpad.net/glance/+bug/1313746,2014-06-20
1328487,1328487,Fix Committed,Fuel Key is loaded on cluster list page even if message about registration has been closed,https://bugs.launchpad.net/fuel/+bug/1328487,2014-06-20
1330892,1330892,Fix Released,Manager does not pass share_server value to ensure_server method,https://bugs.launchpad.net/manila/+bug/1330892,2014-06-20
1331076,1331076,Fix Released,share can not be created with manilaclient without share_network,https://bugs.launchpad.net/manila/+bug/1331076,2014-06-20
1328738,1328738,Fix Released,tempest.api.image.v1.test_images.ListImagesTest fails in setup with BadRequest - The HTTP URL is invalid,https://bugs.launchpad.net/tempest/+bug/1328738,2014-06-20
1279739,1279739,Fix Released,nova.cmd.rpc_zmq_receiver:main is missing,https://bugs.launchpad.net/devstack/+bug/1279739,2014-06-20
1279739,1279739,Fix Released,nova.cmd.rpc_zmq_receiver:main is missing,https://bugs.launchpad.net/nova/+bug/1279739,2014-06-20
1323136,1323136,Fix Released,stack.sh fails with the latest version of ryu,https://bugs.launchpad.net/devstack/+bug/1323136,2014-06-19
1277609,1277609,Fix Released,devstack upload of image fails for file:// protocol,https://bugs.launchpad.net/devstack/+bug/1277609,2014-06-19
1174154,1174154,Fix Released,Persistent storage on nodes is not supported,https://bugs.launchpad.net/tripleo/+bug/1174154,2014-06-19
1174154,1174154,Fix Released,Persistent storage on nodes is not supported,https://bugs.launchpad.net/nova/+bug/1174154,2014-06-19
1174154,1174154,Fix Released,Persistent storage on nodes is not supported,https://bugs.launchpad.net/ironic/+bug/1174154,2014-06-19
1201656,1201656,Fix Released,nova baremetal ties nova-compute to one architecture,https://bugs.launchpad.net/tripleo/+bug/1201656,2014-06-19
1326371,1326371,Fix Committed,remove fuel-web/netcheck.py,https://bugs.launchpad.net/fuel/+bug/1326371,2014-06-19
1298405,1298405,Fix Released,L3 agent doesn't restart metadata-proxy,https://bugs.launchpad.net/fuel/+bug/1298405,2014-06-19
1326237,1326237,Fix Released,Typo in man page of proxy-server.conf,https://bugs.launchpad.net/swift/+bug/1326237,2014-06-19
1317492,1317492,Fix Released,manilaclient does not handle share-networks as parameter for share by names,https://bugs.launchpad.net/manila/+bug/1317492,2014-06-19
1324919,1324919,Fix Released,"Manilaclient doesn't handle names of share-networks, only ID",https://bugs.launchpad.net/manila/+bug/1324919,2014-06-19
1331798,1331798,Fix Released,Initial core member for stackforge/cachemonkey project,https://bugs.launchpad.net/openstack-ci/+bug/1331798,2014-06-19
1328188,1328188,Fix Released,clouddocs-maven-plugin: Query parameters do not show up on API reference pages,https://bugs.launchpad.net/openstack-manuals/+bug/1328188,2014-06-18
1323305,1323305,Fix Committed,Building ruby21-nailgun-mcagent when building ISO,https://bugs.launchpad.net/fuel/+bug/1323305,2014-06-18
1201225,1201225,Fix Released,Nova os-availability-zone extension not documented,https://bugs.launchpad.net/openstack-api-site/+bug/1201225,2014-06-18
1285482,1285482,Fix Released,"There is not any API sample file for ""unshelve a server"" API",https://bugs.launchpad.net/nova/+bug/1285482,2014-06-18
1285482,1285482,Fix Released,"There is not any API sample file for ""unshelve a server"" API",https://bugs.launchpad.net/openstack-api-site/+bug/1285482,2014-06-18
1321947,1321947,Fix Committed,iso build incorrect behavior in case of broken upstream mirror,https://bugs.launchpad.net/fuel/+bug/1321947,2014-06-18
1330830,1330830,Fix Released,"Race between flavors test and flavors admin test, marker not found",https://bugs.launchpad.net/tempest/+bug/1330830,2014-06-18
1330845,1330845,Fix Released,List ports in OpenStack Networking (neutron) API v2.0 Reference  - API v2.0 and extensions,https://bugs.launchpad.net/openstack-api-site/+bug/1330845,2014-06-18
1330768,1330768,Fix Released,List Ports in OpenStack Networking API v2.0 Reference  - API v2.0,https://bugs.launchpad.net/openstack-api-site/+bug/1330768,2014-06-18
1327767,1327767,Fix Released,Different JSON response codes for adding tags to Glance images in developer docs and Openstack image service doc,https://bugs.launchpad.net/openstack-api-site/+bug/1327767,2014-06-18
1328712,1328712,Fix Released,Operations Guide - Update keystone configuration after Havana-Icehouse upgrade (Ubuntu),https://bugs.launchpad.net/openstack-manuals/+bug/1328712,2014-06-18
1328987,1328987,Fix Released,Operations Guide - Add Havana to Icehouse upgrade process for RHEL,https://bugs.launchpad.net/openstack-manuals/+bug/1328987,2014-06-18
1254772,1254772,Fix Released,tempest.api.compute.servers.test_server_rescue.ServerRescueTestXML setUpClass times-out on attaching volume,https://bugs.launchpad.net/tempest/+bug/1254772,2014-06-18
1331345,1331345,Fix Released,Create or update object metadata in OpenStack Object Storage API v1 Reference  - API v1,https://bugs.launchpad.net/openstack-api-site/+bug/1331345,2014-06-18
1331345,1331345,Fix Released,Create or update object metadata in OpenStack Object Storage API v1 Reference  - API v1,https://bugs.launchpad.net/openstack-manuals/+bug/1331345,2014-06-18
1321904,1321904,Fix Committed,Consider using tox for nailgun & shotgun,https://bugs.launchpad.net/fuel/+bug/1321904,2014-06-18
1328427,1328427,Fix Released,Fuel CI fails with no licence data found error,https://bugs.launchpad.net/fuel/+bug/1328427,2014-06-18
1328962,1328962,Fix Released,Neutron L3 Agent: Race condition with creation of public bridge,https://bugs.launchpad.net/devstack/+bug/1328962,2014-06-18
1322228,1322228,Fix Committed,MultipleAgentFoundByTypeHost: Multiple agents with agent_type=Open vSwitch agent,https://bugs.launchpad.net/fuel/+bug/1322228,2014-06-18
1284808,1284808,Fix Released,Request for NetAPP CI service account,https://bugs.launchpad.net/openstack-ci/+bug/1284808,2014-06-17
1247060,1247060,Fix Released,TestSnapshotPattern uses default SG for servers,https://bugs.launchpad.net/tempest/+bug/1247060,2014-06-17
1302256,1302256,Fix Released,dropdown menus should show default text instead of blank,https://bugs.launchpad.net/horizon/+bug/1302256,2014-06-17
1331109,1331109,Fix Released,Groups project gate checks alway failing,https://bugs.launchpad.net/openstack-ci/+bug/1331109,2014-06-17
1330834,1330834,Fix Released,"tempest.api.baremetal.test_ports_negative.TestPortsNegative are broken, failing all ironic tempest jobs",https://bugs.launchpad.net/tempest/+bug/1330834,2014-06-17
1324207,1324207,Fix Released,heat doesn't set ca_file  when keystone is configured for SSL,https://bugs.launchpad.net/devstack/+bug/1324207,2014-06-17
1321624,1321624,Fix Released,devstack should put admin_tenant_id in tempest.conf file while setup,https://bugs.launchpad.net/devstack/+bug/1321624,2014-06-17
1306129,1306129,Fix Released,training-labs/README.md corrupted,https://bugs.launchpad.net/openstack-training-guides/+bug/1306129,2014-06-17
1328204,1328204,Fix Released,LVM driver: unable to create a share,https://bugs.launchpad.net/manila/+bug/1328204,2014-06-17
1330516,1330516,Fix Committed,Add local puppet log to shotgun snapshot,https://bugs.launchpad.net/fuel/+bug/1330516,2014-06-17
1321466,1321466,Fix Released,vip__public_old cant reach other nodes mgmt addr,https://bugs.launchpad.net/fuel/+bug/1321466,2014-06-17
1327987,1327987,Fix Released,Savanna deployment failed with error,https://bugs.launchpad.net/fuel/+bug/1327987,2014-06-17
1321284,1321284,Fix Released,Sahara deployment fails,https://bugs.launchpad.net/fuel/+bug/1321284,2014-06-17
1269819,1269819,Fix Released,Use memcached for keystone tokens,https://bugs.launchpad.net/fuel/+bug/1269819,2014-06-17
1320241,1320241,Fix Released,Script for checking containers readiness is buggy,https://bugs.launchpad.net/fuel/+bug/1320241,2014-06-17
1232172,1232172,Fix Released,vmware: Extend volume not implemented by vSphere cinder driver,https://bugs.launchpad.net/cinder/+bug/1232172,2014-06-17
1327017,1327017,Fix Released,Chapter 3. Controller Node in OpenStack Training Guides: No image provided for Fig.5,https://bugs.launchpad.net/openstack-training-guides/+bug/1327017,2014-06-17
1306596,1306596,Fix Released,os-config-refresh fails after upgrading control node on overcloud,https://bugs.launchpad.net/tripleo/+bug/1306596,2014-06-17
1327942,1327942,Fix Released,There is no way to create instance with block device maping,https://bugs.launchpad.net/tempest/+bug/1327942,2014-06-16
1329042,1329042,Fix Released,gate-tempest-dsvm-large-ops fails consistently in stable/havana,https://bugs.launchpad.net/openstack-ci/+bug/1329042,2014-06-16
1321907,1321907,Fix Released,[devops] OSTF Fuel CI doesn't actually check pep8,https://bugs.launchpad.net/fuel/+bug/1321907,2014-06-16
1282556,1282556,Fix Released,There is no instructions on how to build development documentation,https://bugs.launchpad.net/fuel/+bug/1282556,2014-06-16
1319678,1319678,Fix Released,Sometimes installation master node hangs,https://bugs.launchpad.net/fuel/+bug/1319678,2014-06-16
1326754,1326754,Fix Released,Ubuntu CI failures  : Unable to locate package ubuntu-cloud-keyring,https://bugs.launchpad.net/tripleo/+bug/1326754,2014-06-16
1326754,1326754,Fix Released,Ubuntu CI failures  : Unable to locate package ubuntu-cloud-keyring,https://bugs.launchpad.net/openstack-ci/+bug/1326754,2014-06-16
1290857,1290857,Fix Released,Image list api is wrong,https://bugs.launchpad.net/openstack-api-site/+bug/1290857,2014-06-16
1308858,1308858,Fix Released,Update the swift config ref tables,https://bugs.launchpad.net/openstack-manuals/+bug/1308858,2014-06-16
1325983,1325983,Fix Released,Murano HA is broken,https://bugs.launchpad.net/fuel/+bug/1325983,2014-06-16
1282106,1282106,Fix Committed,Broken processing of 'skipped' status for tests,https://bugs.launchpad.net/fuel/+bug/1282106,2014-06-16
1329379,1329379,Fix Released,Quotas context doesn't work in deployments without neutron,https://bugs.launchpad.net/rally/+bug/1329379,2014-06-16
1329907,1329907,Fix Released,Rally fails if exception occured during quotas context cleanup,https://bugs.launchpad.net/rally/+bug/1329907,2014-06-16
1329795,1329795,Fix Released,Wrong names of nova quotas,https://bugs.launchpad.net/rally/+bug/1329795,2014-06-16
1321302,1321302,Fix Committed,Deadlocks in tests in stop deployment task,https://bugs.launchpad.net/fuel/+bug/1321302,2014-06-16
