,Key,Status,Summary,Url,Last_Date
1341250,1341250,Fix Released,autohelp.py must be updated to not use generator._sanitize,https://bugs.launchpad.net/openstack-manuals/+bug/1341250,2014-07-16
1337927,1337927,Fix Released,[nailgun] bootstrap rollback fails when bootstrap upgrader is not started yet,https://bugs.launchpad.net/fuel/+bug/1337927,2014-07-16
1340260,1340260,Fix Committed,[library] VIPs do not failover in assymetric cluster,https://bugs.launchpad.net/fuel/+bug/1340260,2014-07-16
1338285,1338285,Fix Committed,[library] Invalid parameter memcached_servers / ha mode / cluster,https://bugs.launchpad.net/fuel/+bug/1338285,2014-07-16
1337415,1337415,Fix Committed,[library] newer sysctl module breaks deployment,https://bugs.launchpad.net/fuel/+bug/1337415,2014-07-16
1337322,1337322,Fix Committed,[library] rabbitmq doesn't start on fuel master,https://bugs.launchpad.net/fuel/+bug/1337322,2014-07-16
1334156,1334156,Fix Committed,[nailgun] flake8 fails for fuelmenu in master,https://bugs.launchpad.net/fuel/+bug/1334156,2014-07-16
1307543,1307543,Fix Committed,[nailgun] Network checker isn't covered by unit tests,https://bugs.launchpad.net/fuel/+bug/1307543,2014-07-16
1294286,1294286,Fix Committed,[provision] Remove all conflicting options from GRUB GRUB_CMDLINE_LINUX and make them configurable,https://bugs.launchpad.net/fuel/+bug/1294286,2014-07-16
1341586,1341586,Fix Released,[Update] Rollback button is disbaled on errored patched clusters,https://bugs.launchpad.net/fuel/+bug/1341586,2014-07-16
1339175,1339175,Fix Released,"[Upgrade] Pre-checks fails with error ""Max retries exceeded "" on nailgun api invoke",https://bugs.launchpad.net/fuel/+bug/1339175,2014-07-16
1341156,1341156,Fix Released,[grunt bower] Fatal error: Arguments to path.join must be strings,https://bugs.launchpad.net/fuel/+bug/1341156,2014-07-16
1342378,1342378,Fix Released,Chapter 19. Dashboard in OpenStack Security Guide -> Cookies - current - Tag showing in example,https://bugs.launchpad.net/openstack-manuals/+bug/1342378,2014-07-16
1325780,1325780,Fix Released,Bug in example to set Temporary URL Account secret Key,https://bugs.launchpad.net/openstack-api-site/+bug/1325780,2014-07-16
1342267,1342267,Fix Released,Grammatical Error - Chapter 1. Acknowledgments in OpenStack Security Guide,https://bugs.launchpad.net/openstack-manuals/+bug/1342267,2014-07-16
1341809,1341809,Fix Released,"Replace instances of ""username"" with ""user name"", per doc convention",https://bugs.launchpad.net/openstack-manuals/+bug/1341809,2014-07-16
1340886,1340886,Fix Committed,FUEL web UI incorrectly validate vcenter cluster names that contain space chars,https://bugs.launchpad.net/fuel/+bug/1340886,2014-07-16
1297232,1297232,Fix Committed,[ui] Verification network validation issue,https://bugs.launchpad.net/fuel/+bug/1297232,2014-07-16
1326503,1326503,Fix Released,hudson-openstack not working for python-novaclient,https://bugs.launchpad.net/python-novaclient/+bug/1326503,2014-07-16
1340754,1340754,Fix Released,not set value of parameter notification_driver in neutron conf,https://bugs.launchpad.net/devstack/+bug/1340754,2014-07-15
1323775,1323775,Fix Released,nova boot --block-device usage unclear,https://bugs.launchpad.net/python-novaclient/+bug/1323775,2014-07-15
1323775,1323775,Fix Released,nova boot --block-device usage unclear,https://bugs.launchpad.net/openstack-manuals/+bug/1323775,2014-07-15
1342262,1342262,Fix Released,virtualenv>=1.9.1 not found for py26 environments,https://bugs.launchpad.net/openstack-ci/+bug/1342262,2014-07-15
1341901,1341901,Fix Released,Missing apostrophe in Chapter 14. Case studies: PKI and certificate management in OpenStack Security Guide  - current,https://bugs.launchpad.net/openstack-manuals/+bug/1341901,2014-07-15
1341835,1341835,Fix Released,Fix Style Issues Chapter 19. Dashboard in OpenStack Security Guide  - current,https://bugs.launchpad.net/openstack-manuals/+bug/1341835,2014-07-15
1342222,1342222,Fix Released,Incorrect font for macros/ function names which are used along with normal text in Chapter 19. Dashboard in OpenStack Security Guide  - current,https://bugs.launchpad.net/openstack-manuals/+bug/1342222,2014-07-15
1340433,1340433,Fix Released,Add a varible to set a tunnel end point different to HOST_IP,https://bugs.launchpad.net/devstack/+bug/1340433,2014-07-15
1317215,1317215,Fix Released,Nonsencial sentence in Chapter 22. Case studies: Identity management in OpenStack Security Guide,https://bugs.launchpad.net/openstack-manuals/+bug/1317215,2014-07-15
1253647,1253647,Fix Released,"Wrong ""notification_driver"" value set by ceilometer manifests",https://bugs.launchpad.net/fuel/+bug/1253647,2014-07-15
1252830,1252830,Fix Released,Deeper ceilometer integration for OpenStack services,https://bugs.launchpad.net/fuel/+bug/1252830,2014-07-15
1305766,1305766,Fix Released,Install murano-conductor' returned 1: Error,https://bugs.launchpad.net/fuel/+bug/1305766,2014-07-15
1316534,1316534,Fix Released,Murano telnet deployment doesn't finish,https://bugs.launchpad.net/fuel/+bug/1316534,2014-07-15
1313603,1313603,Fix Released,Murano OSTF tests created incorrect flavor,https://bugs.launchpad.net/fuel/+bug/1313603,2014-07-15
1311144,1311144,Fix Released,[Sahara] Revert validation for Oozie to be present for EDP job,https://bugs.launchpad.net/fuel/+bug/1311144,2014-07-15
1311554,1311554,Fix Released,[Sahara] Fix OSTF tests after a networking change,https://bugs.launchpad.net/fuel/+bug/1311554,2014-07-15
1318920,1318920,Fix Released,Articles in fuel docs about Murano are outdated,https://bugs.launchpad.net/fuel/+bug/1318920,2014-07-15
1325149,1325149,Fix Committed,Document how Hadoop runs on Sahara/OpenStack,https://bugs.launchpad.net/fuel/+bug/1325149,2014-07-15
1323269,1323269,Fix Released,[UI] network settings tab disappears sometimes,https://bugs.launchpad.net/fuel/+bug/1323269,2014-07-15
1340684,1340684,Fix Released,shares remount fails with generic driver,https://bugs.launchpad.net/manila/+bug/1340684,2014-07-15
1328831,1328831,Fix Committed,database downgrade from 5_0_1 fails for nailgun,https://bugs.launchpad.net/fuel/+bug/1328831,2014-07-15
1328874,1328874,Fix Committed,Error nailgun migration from 5_0 to 5_0_1,https://bugs.launchpad.net/fuel/+bug/1328874,2014-07-15
1341639,1341639,Fix Released,get_client_with_isolated_creads() should be get_client_with_isolated_creds,https://bugs.launchpad.net/manila/+bug/1341639,2014-07-15
1327290,1327290,Fix Released,[SystemTests] Murano test fails while trying to download cloud-fedora image,https://bugs.launchpad.net/fuel/+bug/1327290,2014-07-15
1330514,1330514,Fix Released,[System tests] Add 'Create volume and boot instance from it' as expected test to fail to test without cinder node,https://bugs.launchpad.net/fuel/+bug/1330514,2014-07-15
1322539,1322539,Fix Committed,drop production=dev code from fuel library,https://bugs.launchpad.net/fuel/+bug/1322539,2014-07-15
1306729,1306729,Fix Released,Fatal error with orchestator on master node,https://bugs.launchpad.net/fuel/+bug/1306729,2014-07-15
1341705,1341705,Fix Released,Error getting container_info without fallback on running clusters,https://bugs.launchpad.net/swift/+bug/1341705,2014-07-14
1326974,1326974,Fix Released,nova-clear-rabbit-queues removed from Juno (master branch of nova). Make appropriate changes to nova-spec file,https://bugs.launchpad.net/anvil/+bug/1326974,2014-07-14
1337811,1337811,Fix Committed,HealthCheck tab control bugs,https://bugs.launchpad.net/fuel/+bug/1337811,2014-07-14
