,Key,Status,Summary,Url,Last_Date
1752808,1752808,Fix Released,Could not fetch contents for file:///tmp/tripleoclient-7yIBX5/tripleo-heat-templates/network/config/single-nic-vlans/compute.yaml,https://bugs.launchpad.net/tripleo/+bug/1752808,2018-04-19
1754363,1754363,Fix Released,TLS everywhere: Compute nodes request neutron cert and fail,https://bugs.launchpad.net/tripleo/+bug/1754363,2018-04-19
1754546,1754546,Fix Released,DPDK: Deployment failing with ComputeOvsDpdk role when no deprecated parameters present,https://bugs.launchpad.net/tripleo/+bug/1754546,2018-04-19
1731924,1731924,Fix Released,Execute destroy-patch-ports before running ovs-agent in container,https://bugs.launchpad.net/tripleo/+bug/1731924,2018-04-19
1754679,1754679,Fix Released,Duplicate declaration: Keepalived::Instance[55],https://bugs.launchpad.net/tripleo/+bug/1754679,2018-04-19
1755180,1755180,Fix Released,Zaqar services don't configure firewall rules,https://bugs.launchpad.net/tripleo/+bug/1755180,2018-04-19
1755273,1755273,Fix Released,tacker service is missing firewall rules,https://bugs.launchpad.net/tripleo/+bug/1755273,2018-04-19
1753247,1753247,Fix Released,undercloud database for neutron needs to be migrated to ovs_neutron,https://bugs.launchpad.net/tripleo/+bug/1753247,2018-04-19
1754323,1754323,Fix Released,Overcloud deployemnt fails on DPDK network in a containerized deployment,https://bugs.launchpad.net/tripleo/+bug/1754323,2018-04-19
1755504,1755504,Fix Released,Configure firewall rules for Congress,https://bugs.launchpad.net/tripleo/+bug/1755504,2018-04-19
1755837,1755837,Fix Released,deployed server newton upgrade compat layer is not working.,https://bugs.launchpad.net/tripleo/+bug/1755837,2018-04-19
1755916,1755916,Fix Released,OpenDaylight Container fails to start due to volume mounting destroying ODL etc config dir,https://bugs.launchpad.net/tripleo/+bug/1755916,2018-04-19
1753771,1753771,Fix Released,Cleanup and provisioning networks misconfigured for containerized Ironic conductor (undercloud),https://bugs.launchpad.net/tripleo/+bug/1753771,2018-04-19
1757111,1757111,Fix Released,fs020(both queens/master) tempest tests failing while booting an instance,https://bugs.launchpad.net/tripleo/+bug/1757111,2018-04-19
1758014,1758014,Fix Released,Upgrading to tht with removed old update logic is broken,https://bugs.launchpad.net/tripleo/+bug/1758014,2018-04-19
1756959,1756959,Fix Released,fix telemetry role,https://bugs.launchpad.net/tripleo/+bug/1756959,2018-04-19
1761239,1761239,Fix Released,zaqar still uses mongodb by default,https://bugs.launchpad.net/tripleo/+bug/1761239,2018-04-19
1745997,1745997,Fix Released,Updating overcloud stack fails when there are no extra free nodes,https://bugs.launchpad.net/tripleo/+bug/1745997,2018-04-19
1751928,1751928,Fix Released,OpenDaylight healthcheck is broken due to jetty config changes,https://bugs.launchpad.net/tripleo/+bug/1751928,2018-04-19
1752852,1752852,Fix Released,known secure registries still get insecure detection,https://bugs.launchpad.net/tripleo/+bug/1752852,2018-04-19
1752893,1752893,Fix Released,Stack update is not working when using derived parameters,https://bugs.launchpad.net/tripleo/+bug/1752893,2018-04-19
1748973,1748973,Fix Released,config-download: Name deployments under /var/lib/heat-config/tripleo-config-download uniquely with uuid,https://bugs.launchpad.net/tripleo/+bug/1748973,2018-04-19
1753728,1753728,Fix Released,Fencing configuration generator fails deployment if action parameter is used,https://bugs.launchpad.net/tripleo/+bug/1753728,2018-04-19
1757090,1757090,Fix Released,Minor updates don't work with deployed server,https://bugs.launchpad.net/tripleo/+bug/1757090,2018-04-19
1750438,1750438,Fix Released,config-download: better check mode support for server deployments,https://bugs.launchpad.net/tripleo/+bug/1750438,2018-04-19
