,Key,Status,Summary,Url,Last_Date
1515822,1515822,Fix Released,NSXv3: Deleting NAT rules is broken,https://bugs.launchpad.net/vmware-nsx/+bug/1515822,2020-07-29
1515819,1515819,Fix Released,NSXv3: Deleting static routes is broken,https://bugs.launchpad.net/vmware-nsx/+bug/1515819,2020-07-29
1519667,1519667,Fix Released,NSX|V: Failed to allocate one available vnic,https://bugs.launchpad.net/vmware-nsx/+bug/1519667,2020-07-29
1523187,1523187,Fix Released,nsx_v3: remove unneeded call to nsx_db.get_nsx_switch_and_port_id,https://bugs.launchpad.net/vmware-nsx/+bug/1523187,2020-07-29
1527168,1527168,Fix Released,Instances lose connectivity if 2 shared routers get connected to external network,https://bugs.launchpad.net/vmware-nsx/+bug/1527168,2020-07-29
1527174,1527174,Fix Released,Delete interface operation on distributed router fails,https://bugs.launchpad.net/vmware-nsx/+bug/1527174,2020-07-29
1700880,1700880,Fix Released,Wrong module import,https://bugs.launchpad.net/vmware-nsx/+bug/1700880,2020-07-29
1640319,1640319,Fix Released,AttributeError: 'module' object has no attribute 'convert_to_boolean',https://bugs.launchpad.net/neutron/+bug/1640319,2020-07-29
1640319,1640319,Fix Released,AttributeError: 'module' object has no attribute 'convert_to_boolean',https://bugs.launchpad.net/vmware-nsx/+bug/1640319,2020-07-29
1640319,1640319,Fix Released,AttributeError: 'module' object has no attribute 'convert_to_boolean',https://bugs.launchpad.net/openstack-ansible/+bug/1640319,2020-07-29
1640319,1640319,Fix Released,AttributeError: 'module' object has no attribute 'convert_to_boolean',https://bugs.launchpad.net/networking-midonet/+bug/1640319,2020-07-29
1591413,1591413,Fix Released,Fix l2 gateway drivers based on upstream changes,https://bugs.launchpad.net/vmware-nsx/+bug/1591413,2020-07-29
1578734,1578734,Fix Released,Instance Creation fails because of Timeout and Duplicate Hostname for Bindings on NSX Edge (DHCP),https://bugs.launchpad.net/vmware-nsx/+bug/1578734,2020-07-29
1507819,1507819,Fix Released,NSXv3: Exception handling in update port fails,https://bugs.launchpad.net/vmware-nsx/+bug/1507819,2020-07-29
1507818,1507818,Fix Released,Move 'locking_coordinator_url' to common configuration section,https://bugs.launchpad.net/vmware-nsx/+bug/1507818,2020-07-29
1507815,1507815,Fix Released,Security group is dropping DHCP packet,https://bugs.launchpad.net/vmware-nsx/+bug/1507815,2020-07-29
1506457,1506457,Fix Released,NSXv3: Introduce config param to add dhcp switching profile,https://bugs.launchpad.net/vmware-nsx/+bug/1506457,2020-07-29
1505817,1505817,Fix Released,NSXv3: Introduce config param to add dhcp switching profile,https://bugs.launchpad.net/vmware-nsx/+bug/1505817,2020-07-29
1500547,1500547,Fix Released,[NSXv]: Add conf param for exclusive router edge size,https://bugs.launchpad.net/vmware-nsx/+bug/1500547,2020-07-29
1499444,1499444,Fix Released,"NSX|V/: Updating the DNS server in a Neutron subnet fails with ""host routes not supported""",https://bugs.launchpad.net/vmware-nsx/+bug/1499444,2020-07-29
1499181,1499181,Fix Released,NSX|V: upgrade creates more vm's,https://bugs.launchpad.net/vmware-nsx/+bug/1499181,2020-07-29
1491379,1491379,Fix Released,NSXv: plugin is unable to set the aggregatePublishing status,https://bugs.launchpad.net/vmware-nsx/+bug/1491379,2020-07-29
1488692,1488692,Fix Released,Add support NSX driver to verify certificates,https://bugs.launchpad.net/vmware-nsx/+bug/1488692,2020-07-29
1487962,1487962,Fix Released,DVS driver does not verify vCenter certificate,https://bugs.launchpad.net/vmware-nsx/+bug/1487962,2020-07-29
1487624,1487624,Fix Released,Add support for High Availability for networking services provisioned from NSX-v Neutron plugin,https://bugs.launchpad.net/vmware-nsx/+bug/1487624,2020-07-29
1486123,1486123,Fix Released,NSXv: LBaas pool updated error,https://bugs.launchpad.net/vmware-nsx/+bug/1486123,2020-07-29
1483920,1483920,Fix Released,NSX-mh: honour distributed_router config flag,https://bugs.launchpad.net/vmware-nsx/+bug/1483920,2020-07-29
1483453,1483453,Fix Released,Core vendor decomposition for VMware NSX repo,https://bugs.launchpad.net/vmware-nsx/+bug/1483453,2020-07-29
1481087,1481087,Fix Released,NSX: Add support for L2 gateway,https://bugs.launchpad.net/vmware-nsx/+bug/1481087,2020-07-29
1480485,1480485,Fix Released,NSX: Rename the default_interface_name,https://bugs.launchpad.net/vmware-nsx/+bug/1480485,2020-07-29
1476970,1476970,Fix Released,NSXv: overlapping IP exception,https://bugs.launchpad.net/vmware-nsx/+bug/1476970,2020-07-29
1476602,1476602,Fix Released,NSXv: exception when creating multiple IP's on a neutron port,https://bugs.launchpad.net/vmware-nsx/+bug/1476602,2020-07-29
1474785,1474785,Fix Released,NSX-mh: agentless modes are available only for 4.1,https://bugs.launchpad.net/vmware-nsx/+bug/1474785,2020-07-29
1467258,1467258,Fix Released,devatck deployment hangs on subnet creation,https://bugs.launchpad.net/vmware-nsx/+bug/1467258,2020-07-29
1463363,1463363,Fix Released,NSX-mh: Decimal RXTX factor not honoured,https://bugs.launchpad.net/vmware-nsx/+bug/1463363,2020-07-29
1433550,1433550,Fix Released,DVR: VMware NSX plugins do not need centralized snat interfaces,https://bugs.launchpad.net/vmware-nsx/+bug/1433550,2020-07-29
1432783,1432783,Fix Released,Adopt oslo incubator,https://bugs.launchpad.net/vmware-nsx/+bug/1432783,2020-07-29
1432713,1432713,Fix Released,Stop using uuidutils from neutron.openstack.common,https://bugs.launchpad.net/vmware-nsx/+bug/1432713,2020-07-29
1417627,1417627,Fix Released,Add NSX mixings to stackforge/vmware-nsx,https://bugs.launchpad.net/vmware-nsx/+bug/1417627,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/python-barbicanclient/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/swift/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/sahara/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/trove/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/tuskar/+bug/1279611,2020-07-29
1279611,1279611,Fix Committed,urlparse is incompatible for python 3,https://bugs.launchpad.net/python-rack/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/vmware-nsx/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/horizon/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/neutron/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/cinder/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/ceilometer/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/glance/+bug/1279611,2020-07-29
1279611,1279611,Fix Released,urlparse is incompatible for python 3,https://bugs.launchpad.net/python-cinderclient/+bug/1279611,2020-07-29
1279611,1279611,Fix Committed,urlparse is incompatible for python 3,https://bugs.launchpad.net/swift-bench/+bug/1279611,2020-07-29
