,Key,Status,Summary,Url,Last_Date
942896,942896,Fix Released,QuantumManager should set network['host'] when creating the network entry in the database,https://bugs.launchpad.net/nova/+bug/942896,2012-04-05
942896,942896,Fix Released,QuantumManager should set network['host'] when creating the network entry in the database,https://bugs.launchpad.net/neutron/+bug/942896,2012-04-05
927507,927507,Fix Released,fix quantum manager get_port_by_attachment,https://bugs.launchpad.net/nova/+bug/927507,2012-04-05
927507,927507,Fix Released,fix quantum manager get_port_by_attachment,https://bugs.launchpad.net/neutron/+bug/927507,2012-04-05
922319,922319,Fix Released,QuantumManager allocate_for_instance gives back more networks than requested,https://bugs.launchpad.net/neutron/+bug/922319,2012-04-05
917495,917495,Fix Released,Document: project_id must be an integer with QuantumManager,https://bugs.launchpad.net/neutron/+bug/917495,2012-04-05
922440,922440,Fix Released,python-quantumclient e3 tarball is busted,https://bugs.launchpad.net/neutron/+bug/922440,2012-04-05
863632,863632,Fix Released,fix batch_config to work with v1.0 API changes,https://bugs.launchpad.net/neutron/+bug/863632,2012-04-05
907470,907470,Fix Released,Cisco plugin README should have ncclient installation instructions,https://bugs.launchpad.net/neutron/+bug/907470,2012-04-05
897943,897943,Fix Released,Our setup.py needs to be a real setup.py,https://bugs.launchpad.net/neutron/+bug/897943,2012-04-05
897817,897817,Fix Released,The cisco plugin extensions need to move to the cisco plugin directory,https://bugs.launchpad.net/neutron/+bug/897817,2012-04-05
920364,920364,Fix Released,quantum doesn't clean-up DB between devstack runs,https://bugs.launchpad.net/devstack/+bug/920364,2012-04-05
920364,920364,Fix Released,quantum doesn't clean-up DB between devstack runs,https://bugs.launchpad.net/neutron/+bug/920364,2012-04-05
911655,911655,Fix Released,lxml missing in pip-requires,https://bugs.launchpad.net/neutron/+bug/911655,2012-04-05
897059,897059,Fix Released,setup.py develop doesn't work,https://bugs.launchpad.net/neutron/+bug/897059,2012-04-05
921931,921931,Fix Released,Quantum Manager VM launch failure,https://bugs.launchpad.net/nova/+bug/921931,2012-04-05
921931,921931,Fix Released,Quantum Manager VM launch failure,https://bugs.launchpad.net/neutron/+bug/921931,2012-04-05
914962,914962,Fix Released,quantum network manager doesn't accept instance_uuid as a keyword arg,https://bugs.launchpad.net/nova/+bug/914962,2012-04-05
914962,914962,Fix Released,quantum network manager doesn't accept instance_uuid as a keyword arg,https://bugs.launchpad.net/neutron/+bug/914962,2012-04-05
897875,897875,Fix Released,Document nova-parity DHCP + L3/NAT,https://bugs.launchpad.net/neutron/+bug/897875,2012-04-05
893665,893665,Fix Released,Inconsistencies in the testing section of the Cisco README,https://bugs.launchpad.net/neutron/+bug/893665,2012-04-05
893663,893663,Fix Released,Cisco CLI module does not work with installation,https://bugs.launchpad.net/neutron/+bug/893663,2012-04-05
903829,903829,Fix Released,setup_server.py still tries to install quantum.conf.sample and kills installation,https://bugs.launchpad.net/neutron/+bug/903829,2012-04-05
903409,903409,Fix Released,quantum manager calls update_dhcp with bad cidr information,https://bugs.launchpad.net/neutron/+bug/903409,2012-04-05
899767,899767,Fix Released,live_migration does not perform vif unplugging,https://bugs.launchpad.net/neutron/+bug/899767,2012-04-05
899767,899767,Fix Released,live_migration does not perform vif unplugging,https://bugs.launchpad.net/nova/+bug/899767,2012-04-05
