,Key,Status,Summary,Url,Last_Date
1467451,1467451,Fix Released,Hyper-V: fail to detach virtual hard disks,https://bugs.launchpad.net/nova/+bug/1467451,2016-01-21
1463044,1463044,Fix Released,Hyper-V: the driver fails to initialize on Windows Server 2008 R2,https://bugs.launchpad.net/nova/+bug/1463044,2016-01-21
1466305,1466305,Fix Released,Booting from volume nolonger can be bigger that flavor size,https://bugs.launchpad.net/nova/+bug/1466305,2016-01-21
1459491,1459491,Fix Released,Unexpected result when create server booted from volume,https://bugs.launchpad.net/nova/+bug/1459491,2016-01-21
1457517,1457517,Fix Released,Unable to boot from volume when flavor disk too small,https://bugs.launchpad.net/nova/+bug/1457517,2016-01-21
1465443,1465443,Fix Released,Hyper-V: Live migration does not copy configdrive to new host,https://bugs.launchpad.net/nova/+bug/1465443,2016-01-21
1470690,1470690,Fix Released,No 'OS-EXT-VIF-NET' extension in v2.1,https://bugs.launchpad.net/nova/+bug/1470690,2016-01-21
1465446,1465446,Fix Released,"Hyper-V: After live migration succeded, the only instance dirs on the source host are not cleaned up",https://bugs.launchpad.net/nova/+bug/1465446,2016-01-21
1456064,1456064,Fix Released,VMWare instance missing ip address when using config drive,https://bugs.launchpad.net/nova/+bug/1456064,2016-01-21
1436187,1436187,Fix Released,'AttributeError' is getting raised while unshelving instance booted from volume,https://bugs.launchpad.net/nova/+bug/1436187,2016-01-21
1459917,1459917,Fix Released,Can't boot with bdm when use image in local,https://bugs.launchpad.net/nova/+bug/1459917,2016-01-21
1481812,1481812,Fix Released,nova servers pagination does not work with changes-since and deleted marker,https://bugs.launchpad.net/nova/+bug/1481812,2016-01-21
1494653,1494653,Fix Released,Remove unnecessary 'context' parameter from quotas reserve method call,https://bugs.launchpad.net/nova/+bug/1494653,2016-01-21
1491511,1491511,Fix Released,Behavior change with latest nova paste config,https://bugs.launchpad.net/nova/+bug/1491511,2016-01-21
1493694,1493694,Fix Released,"On compute restart, quotas are not updated when instance vm_state is 'DELETED' but instance is not destroyed in db",https://bugs.launchpad.net/nova/+bug/1493694,2016-01-21
1495388,1495388,Fix Released,The instance hostname didn't match the RFC 952 and 1123's definition,https://bugs.launchpad.net/nova/+bug/1495388,2016-01-21
1454451,1454451,Fix Released,simultaneous boot of multiple instances leads to cpu pinning overlap,https://bugs.launchpad.net/nova/+bug/1454451,2016-01-21
1488233,1488233,Fix Released,FC with LUN ID >255 not recognized,https://bugs.launchpad.net/nova/+bug/1488233,2016-01-21
1392527,1392527,Fix Released,[OSSA 2015-017] Deleting instance while resize instance is running leads to unuseable compute nodes (CVE-2015-3280),https://bugs.launchpad.net/ossa/+bug/1392527,2016-01-21
1392527,1392527,Fix Released,[OSSA 2015-017] Deleting instance while resize instance is running leads to unuseable compute nodes (CVE-2015-3280),https://bugs.launchpad.net/nova/+bug/1392527,2016-01-21
1461065,1461065,Fix Released,Security groups may break,https://bugs.launchpad.net/nova/+bug/1461065,2016-01-21
1387543,1387543,Fix Released,[OSSA 2015-015] Resize/delete combo allows to overload nova-compute (CVE-2015-3241),https://bugs.launchpad.net/nova/+bug/1387543,2016-01-21
1387543,1387543,Fix Released,[OSSA 2015-015] Resize/delete combo allows to overload nova-compute (CVE-2015-3241),https://bugs.launchpad.net/ossa/+bug/1387543,2016-01-21
1462128,1462128,Fix Released,Cells: DBReferenceError possible deleting unscheduled instance,https://bugs.launchpad.net/nova/+bug/1462128,2016-01-21
1482699,1482699,Fix Released,glance requests from nova fail if there are too many endpoints in the service catalog,https://bugs.launchpad.net/nova/+bug/1482699,2016-01-21
1472946,1472946,Fix Released,_poll_shelved_instances periodic task is offloading instances even if shelved_offload_time is -1,https://bugs.launchpad.net/nova/+bug/1472946,2016-01-21
1466056,1466056,Fix Released,Hyper-V: serial ports issue on Windows Threshold,https://bugs.launchpad.net/nova/+bug/1466056,2016-01-21
1491325,1491325,Fix Released,nova api v2.1 does not allow to use autodetection of volume device path,https://bugs.launchpad.net/python-novaclient/+bug/1491325,2016-01-21
1491325,1491325,Fix Released,nova api v2.1 does not allow to use autodetection of volume device path,https://bugs.launchpad.net/nova/+bug/1491325,2016-01-21
1484738,1484738,Fix Released,keyerror when refreshing instance security groups,https://bugs.launchpad.net/nova/+bug/1484738,2016-01-21
1487937,1487937,Fix Released,IndexError if federation mapping doesn't match anything,https://bugs.launchpad.net/keystone/+bug/1487937,2016-01-21
1469029,1469029,Fix Released,Migrations fail going from juno -> kilo,https://bugs.launchpad.net/keystone/+bug/1469029,2016-01-21
1401926,1401926,Fix Released,Role revocation invalidates tokens on all user projects,https://bugs.launchpad.net/keystone/+bug/1401926,2016-01-21
1402760,1402760,Fix Released,All user tokens are considered revoked on it's group role revocation,https://bugs.launchpad.net/keystone/+bug/1402760,2016-01-21
1485035,1485035,Fix Released,cadf payload doesn't have initiator for v2 calls,https://bugs.launchpad.net/keystone/+bug/1485035,2016-01-21
1487115,1487115,Fix Released,Ephemeral user's id is not always urlsafe,https://bugs.launchpad.net/keystone/+bug/1487115,2016-01-21
1515302,1515302,Fix Released,Group membership attribute is hard-coded when using 'user_enable_emulation',https://bugs.launchpad.net/keystone/+bug/1515302,2016-01-21
1442787,1442787,Fix Released,Mapping openstack_user attribute in k2k assertions with different domains,https://bugs.launchpad.net/keystone/+bug/1442787,2016-01-21
1452418,1452418,Fix Released,Fernet tokens read from disk on every request,https://bugs.launchpad.net/keystone/+bug/1452418,2016-01-21
1471967,1471967,Fix Released,Fernet unit tests do not test persistence logic,https://bugs.launchpad.net/keystone/+bug/1471967,2016-01-21
1478656,1478656,Fix Released,Non-numeric filenames in key_repository will make Keystone explode,https://bugs.launchpad.net/keystone/+bug/1478656,2016-01-21
1475762,1475762,Fix Released,v3 tokens with references outside the default domain can be validated on v2,https://bugs.launchpad.net/keystone/+bug/1475762,2016-01-21
