,Key,Status,Summary,Url,Last_Date
1652551,1652551,Fix Released,wrong parse of 'port-type' parameter in nimbleclient,https://bugs.launchpad.net/python-moganclient/+bug/1652551,2016-12-28
1605711,1605711,Fix Released,Add hacking check to ensure LOG.warn is not used,https://bugs.launchpad.net/senlin/+bug/1605711,2016-12-28
1605711,1605711,Fix Released,Add hacking check to ensure LOG.warn is not used,https://bugs.launchpad.net/magnum/+bug/1605711,2016-12-28
1613246,1613246,Fix Committed,Timeout exceeded during network verification for environment with multirole nodes,https://bugs.launchpad.net/fuel/+bug/1613246,2016-12-28
1652905,1652905,Fix Released,FORCE_DISABLE_UPDATES variable disables mos-holdback repository,https://bugs.launchpad.net/fuel/+bug/1652905,2016-12-28
1612691,1612691,Fix Committed,custom BVT 7.0 is broken: fuel_webtest failed with: ImportError: No module named ipaddr,https://bugs.launchpad.net/fuel/+bug/1612691,2016-12-28
1532401,1532401,Fix Released,Implement contributing.rst for Magnum,https://bugs.launchpad.net/magnum/+bug/1532401,2016-12-28
1644570,1644570,Fix Committed,Stop sandbox if container is not running,https://bugs.launchpad.net/zun/+bug/1644570,2016-12-28
1546520,1546520,Fix Committed,Network verification fails with balance round-robin bonds,https://bugs.launchpad.net/fuel/+bug/1546520,2016-12-28
1403129,1403129,Fix Released,Glance with swift backend - upload of an image from horizon is not streaming,https://bugs.launchpad.net/horizon/+bug/1403129,2016-12-28
1633432,1633432,Fix Released,Parameter NeutronDpdkCoreList does not apply correctly for specifying multiple cores,https://bugs.launchpad.net/tripleo/+bug/1633432,2016-12-28
1568238,1568238,Fix Released,"when freezer backup nova cinder_volume,the storage must be swift",https://bugs.launchpad.net/freezer/+bug/1568238,2016-12-28
1652210,1652210,Fix Released,Cannot start container 723f2afbc7d6a65b1095255aa59769256a900f10c7cdc815ca20ae5f2223906e in Running state,https://bugs.launchpad.net/zun/+bug/1652210,2016-12-28
1551468,1551468,Fix Released,Unexpected keyword argument 'roles' thrown in conductor,https://bugs.launchpad.net/trove/+bug/1551468,2016-12-28
1610086,1610086,Fix Released,fix restore fullstack,https://bugs.launchpad.net/karbor/+bug/1610086,2016-12-28
1578891,1578891,Fix Released,Add fullstack tests of the resource scheduled_operations RESTAPI,https://bugs.launchpad.net/karbor/+bug/1578891,2016-12-28
1650820,1650820,Fix Released,"The ""run"" URL violate the OpenStack API guide",https://bugs.launchpad.net/zun/+bug/1650820,2016-12-27
1652768,1652768,Fix Released,Glance-db-sync pod failed with jinja2.exceptions.UndefinedError: 'dict object' has no attribute 'service',https://bugs.launchpad.net/fuel-ccp/+bug/1652768,2016-12-27
1652247,1652247,Fix Released,Update cluster from 9.1 to 9.2 failed on task [Restart MCollective] (mos_mu playbooks),https://bugs.launchpad.net/fuel/+bug/1652247,2016-12-27
1652422,1652422,Fix Released,Rename get_encap_type for Chassis,https://bugs.launchpad.net/dragonflow/+bug/1652422,2016-12-27
1651439,1651439,Fix Released,old object will replace new object in nb_api,https://bugs.launchpad.net/dragonflow/+bug/1651439,2016-12-27
1643315,1643315,Fix Released,python-karborclient: get() method on a checkpoint object fails,https://bugs.launchpad.net/karbor/+bug/1643315,2016-12-27
1650652,1650652,Fix Released,fuel-mirror creates local mirror w/o systemd-shim package,https://bugs.launchpad.net/fuel/+bug/1650652,2016-12-27
1652387,1652387,Fix Released,Rename Nova virt driver from 'docker' to 'zun',https://bugs.launchpad.net/zun/+bug/1652387,2016-12-27
1652546,1652546,Fix Released,Could not load 'fujitsu_cfab',https://bugs.launchpad.net/networking-fujitsu/+bug/1652546,2016-12-27
1644190,1644190,Fix Released,[graph-octane][upgrade] Upgrade Kilo-Mitaka: Instances is not available via floating ip,https://bugs.launchpad.net/fuel/+bug/1644190,2016-12-27
1651620,1651620,Fix Released,distributed lock cannot guarantee the success of operation in heavy load,https://bugs.launchpad.net/dragonflow/+bug/1651620,2016-12-27
1594882,1594882,Fix Committed,Increase reboot timeout for fuel-astute,https://bugs.launchpad.net/fuel/+bug/1594882,2016-12-26
1652026,1652026,Fix Released,DFVersionObjects is not used any more,https://bugs.launchpad.net/dragonflow/+bug/1652026,2016-12-26
1652579,1652579,Fix Released,The error message in api response isn't showed in client side,https://bugs.launchpad.net/python-moganclient/+bug/1652579,2016-12-26
1640428,1640428,Fix Released,container-create should fail when image passed doesn't exist,https://bugs.launchpad.net/zun/+bug/1640428,2016-12-26
1651783,1651783,Fix Committed,[murano-dashboard] Additional location to copy murano_policy.json policy file,https://bugs.launchpad.net/fuel/+bug/1651783,2016-12-26
1584378,1584378,Fix Released,glance bootstrap job isn't completing,https://bugs.launchpad.net/kolla-kubernetes/+bug/1584378,2016-12-26
1614526,1614526,Fix Committed,Missing extension management capabilities for nailgun,https://bugs.launchpad.net/fuel/+bug/1614526,2016-12-26
1605907,1605907,Fix Released,horizon do cache and compress assets properly,https://bugs.launchpad.net/kolla/+bug/1605907,2016-12-26
1615231,1615231,Fix Released,ubuntu kolla-toolbox gate fails with module mysqldb is required,https://bugs.launchpad.net/kolla/+bug/1615231,2016-12-26
1621460,1621460,Fix Released,kolla should be using delorean repositories for rabbitmq,https://bugs.launchpad.net/kolla/+bug/1621460,2016-12-26
1651015,1651015,Fix Released,kuryr-libnetwork did not clean neutron port when use existed neutron network,https://bugs.launchpad.net/kuryr-libnetwork/+bug/1651015,2016-12-26
1652051,1652051,Fix Released,unit test failure for privsep/pyroute2,https://bugs.launchpad.net/networking-midonet/+bug/1652051,2016-12-25
1652425,1652425,Fix Released,UT fails because constant definition changed,https://bugs.launchpad.net/networking-midonet/+bug/1652425,2016-12-25
1612319,1612319,Fix Released,region support for cinder tests is missing,https://bugs.launchpad.net/rally/+bug/1612319,2016-12-25
1651171,1651171,Fix Released,Wrong DB table name in the model definition,https://bugs.launchpad.net/group-based-policy/+bug/1651171,2016-12-24
1652040,1652040,Fix Released,NFP - Corrected logic to get consumers for a corresponding chain in node driver,https://bugs.launchpad.net/group-based-policy/+bug/1652040,2016-12-24
1652045,1652045,Fix Released,NFP - Support when template contains more than 100 rules,https://bugs.launchpad.net/group-based-policy/+bug/1652045,2016-12-24
1652042,1652042,Fix Released,NFP - Correct calculation of interfaces_in_use field,https://bugs.launchpad.net/group-based-policy/+bug/1652042,2016-12-24
1652041,1652041,Fix Released,NFP - update vpn description in template resources,https://bugs.launchpad.net/group-based-policy/+bug/1652041,2016-12-24
1504479,1504479,Fix Released,tempest cannot support auth_admin_prefix config option,https://bugs.launchpad.net/tempest/+bug/1504479,2016-12-23
1652258,1652258,Fix Committed,puppet-mcollective in fuel-infra is not synced with voxpopuli,https://bugs.launchpad.net/fuel/+bug/1652258,2016-12-23
1334650,1334650,Fix Released,tempest.scenario.test_swift_basic_ops fails in multi region setup,https://bugs.launchpad.net/tempest/+bug/1334650,2016-12-23
1269570,1269570,Fix Released,"[neutron] tempest/api/network/admin/test_l3_agent_scheduler.py test is not valid, he didn't schedule / remove L3 router",https://bugs.launchpad.net/tempest/+bug/1269570,2016-12-23
1401291,1401291,Fix Released,Skip in L3AgentSchedulerTestJSON should be handled via configuration flag,https://bugs.launchpad.net/tempest/+bug/1401291,2016-12-23
1440631,1440631,Fix Released,conflicts between cinder-volume and zeromq driver,https://bugs.launchpad.net/cinder/+bug/1440631,2016-12-23
1224023,1224023,Fix Released,endpoint_url is missing as optional parameter in the rest client __init__,https://bugs.launchpad.net/tempest/+bug/1224023,2016-12-23
1640303,1640303,Fix Released,"Error: ENOENT: no such file or directory, open '/var/log/kolla/kibana/kibana.log'",https://bugs.launchpad.net/kolla/+bug/1640303,2016-12-23
1651303,1651303,Fix Released,DB changes to support gateway sharing with NFP,https://bugs.launchpad.net/group-based-policy/+bug/1651303,2016-12-23
1182883,1182883,Fix Released,List servers matching a regex fails with Neutron,https://bugs.launchpad.net/tempest/+bug/1182883,2016-12-23
1264328,1264328,Fix Released,incorrect kwargs detail for webob.exc.HTTP*,https://bugs.launchpad.net/nova/+bug/1264328,2016-12-23
1303913,1303913,Fix Released,Console logs for unittest failures are > 100MB,https://bugs.launchpad.net/nova/+bug/1303913,2016-12-23
1492021,1492021,Fix Released,bagpipe: do not overload the ovs agent,https://bugs.launchpad.net/bgpvpn/+bug/1492021,2016-12-23
1545667,1545667,Fix Released,make securitygroup callback of v2 driver register PRECOMMIT event,https://bugs.launchpad.net/networking-odl/+bug/1545667,2016-12-23
1373337,1373337,Fix Released,Updating quotas path issue,https://bugs.launchpad.net/openstack-api-site/+bug/1373337,2016-12-23
1614537,1614537,Fix Released,Neutron Objects do not override the UUIDField to actually validate UUIDs,https://bugs.launchpad.net/neutron/+bug/1614537,2016-12-23
1551288,1551288,Fix Released,Fullstack native tests sometimes fail with an OVS agent failing to start with 'Address already in use' error,https://bugs.launchpad.net/neutron/+bug/1551288,2016-12-23
1528758,1528758,Fix Released,SIGUSR1 is deprecated in Guru mediation,https://bugs.launchpad.net/magnum/+bug/1528758,2016-12-23
1652280,1652280,Fix Committed,[10.0-community.main.ubuntu.bvt_2][992] Torrent not found in result,https://bugs.launchpad.net/fuel/+bug/1652280,2016-12-23
1564627,1564627,Fix Released,"Duplicate signals create events with reason ""Unknown""",https://bugs.launchpad.net/tripleo/+bug/1564627,2016-12-23
1652022,1652022,Fix Released,[9.0-community.main.ubuntu.bvt_2][711] No space left on device,https://bugs.launchpad.net/fuel/+bug/1652022,2016-12-23
1578700,1578700,Fix Committed,custom links remains in Fuel Dashboard after reset environment,https://bugs.launchpad.net/fuel/+bug/1578700,2016-12-23
1651306,1651306,Fix Released,NFP Device configuration update,https://bugs.launchpad.net/group-based-policy/+bug/1651306,2016-12-23
1630590,1630590,Fix Released,multi region support is broken,https://bugs.launchpad.net/heat/+bug/1630590,2016-12-23
1641558,1641558,Fix Released,Osc job fails due to VersionConflict,https://bugs.launchpad.net/python-heatclient/+bug/1641558,2016-12-23
1623014,1623014,Fix Committed,Command `fuel2 graph execute` should return a json with task description,https://bugs.launchpad.net/fuel/+bug/1623014,2016-12-23
1645235,1645235,Fix Released,NFP - Orchestrator and configurator should support NFP extension,https://bugs.launchpad.net/group-based-policy/+bug/1645235,2016-12-23
1644868,1644868,Fix Released,NFP - DB and node driver should support extensions to NFP,https://bugs.launchpad.net/group-based-policy/+bug/1644868,2016-12-23
1644283,1644283,Fix Released,NFP - Process model framework should allocate event or rpc to module by selecting module from multiple modules,https://bugs.launchpad.net/group-based-policy/+bug/1644283,2016-12-23
