Project, qt, openstack, jdt, platform, gerrit, go, Mean, 
DeepJIT, 0.7144399029436721, 0.7140236277333052, 0.7490953571686182, 0.693555590584279, 0.7875295508274232, 0.7313758141594554, 0.7316699739027922, 
CC2Vec, 0.7164483457929413, 0.7077699400280045, 0.7466218653073983, 0.6912428191116715, 0.7873106558094738, 0.7244423891851332, 0.7289726692057704, 
LR-JIT, 0.6843236712491769, 0.6749874507939023, 0.7496633887139045, 0.6911596258932324, 0.8130527099203222, 0.6782732439064894, 0.7152433484128381, 
DBN-JIT, 0.679132559386439, 0.6704701769217899, 0.6110757134957082, 0.6881217598430712, 0.7363518956308555, 0.6522347485408171, 0.6728978089697802, 
